gene_short_name	EV10_FPKM	EV21_FPKM	TS10_FPKM	TS21_FPKM
NbC25469554g0001	0.87038	0.164763	1.71877	1.77491
NbC25730842g0001	0	0.000639717	0	0.213441
NbC26298068g0003	0.116939	0.052417	0.992478	1.42508
NbS00000194g0006	0.6909	0.0102036	0.466495	0.31541
NbS00000341g0006	0.0563956	0.0232373	0.221736	0.523042
NbS00000565g0004	1.44024	0.985119	3.93901	11.4757
NbS00001525g0108	0.275552	0.00224148	1.13237	1.23961
NbS00001801g0009	0.0298086	0.0253519	0	0.286725
NbS00002670g0014	0.190928	0.0273327	0.674384	0.275545
NbS00002765g0028	0.0131139	0.0245027	0.104305	0.265162
